supervoxel_id	root_id	pos_x	pos_y	pos_z	soma_x	soma_y	soma_z	nucleus_id	flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	ito_lee_hemilineage	hartenstein_hemilineage	morphology_group	top_nt	top_nt_conf	side	nerve	vfb_id	fbbt_id	status
81771092276345050	720575940618781745	161896	44784	1835	161896.0	44784.0	1835.0	6819339.0		not_a_neuron	glia							gaba	0.7453250885009766	right				
79380204241506538	720575940627716170	126944	70056	1652	126944.0	70056.0	1652.0	4641735.0		not_a_neuron	glia							dopamine	0.3871349096298218	center				
82686160828822400	720575940614514322	175040	49664	1997	175040.0	49664.0	1997.0	7390230.0		not_a_neuron	glia							dopamine	0.3299054503440857	right				
80928522839280290	720575940623560230	149896	72576	2410	149896.0	72576.0	2410.0	6426067.0		not_a_neuron	glia							acetylcholine	0.457456111907959	right				
80647460112002125	720575940616327965	146128	78760	1665	146128.0	78760.0	1665.0	5820815.0		not_a_neuron	glia							acetylcholine	0.8182664513587952	right				
77058035818242482	720575940630637932	93144	69976	2981	93144.0	69976.0	2981.0	2118465.0		not_a_neuron	glia							acetylcholine	0.7191166281700134	left				
78184554267055897	720575940639721533	110176	79160	3165	110176.0	79160.0	3165.0	3199765.0		not_a_neuron	glia							glutamate	0.3749026358127594	left				
81491747938591995	720575940614856755	157736	76704	4135	157736.0	76704.0	4135.0	6920277.0		not_a_neuron	glia							acetylcholine	0.498825341463089	right				
79800354987930464	720575940628645519	133920	39088	695	133920.0	39088.0	695.0	4963447.0		not_a_neuron	glia							dopamine	0.5175237059593201	right				
82124722636216864	720575940605329865	167752	71992	1225	167752.0	71992.0	1225.0	7135660.0		not_a_neuron	glia							acetylcholine	0.41992101073265076	right				
81419729994458981	720575940616266068	157160	52552	4909	157160.0	52552.0	4909.0	6845127.0		not_a_neuron	glia							acetylcholine	0.5004050135612488	right				
79871892366097561	720575940614478482	135032	56744	3781	135032.0	56744.0	3781.0	5068085.0		not_a_neuron	glia							acetylcholine	0.6109414100646973	center				
79518673920424046	720575940638232910	129352	35952	1444	129352.0	35952.0	1444.0	4415916.0		not_a_neuron	glia							acetylcholine	0.281330943107605	center				
77339167063026428	720575940619855599	97240	65120	1721	97240.0	65120.0	1721.0	2108007.0		not_a_neuron	glia							glutamate	0.5761035680770874	left				
78466647853200484	720575940629711738	113976	87736	4214	113976.0	87736.0	4214.0	3257294.0		not_a_neuron	glia							acetylcholine	0.5028262734413147	left				
78885973966566566	720575940609087957	120568	44928	3528	120568.0	44928.0	3528.0	3669650.0		not_a_neuron	glia							acetylcholine	0.6482792496681213	left				
79168342162262638	720575940618275033	124720	58008	2466	124720.0	58008.0	2466.0	4594682.0		not_a_neuron	glia							acetylcholine	0.4797760844230652	center				
80855886218137538	720575940617210809	149352	39360	1385	149352.0	39360.0	1385.0	6349117.0		not_a_neuron	glia							acetylcholine	0.5167413353919983	right				
81281054023206288	720575940630061303	155112	82616	4347	155112.0	82616.0	4347.0	6517690.0		not_a_neuron	glia							glutamate	0.24716852605342865	right				
77621123411731805	720575940632172853	102304	71616	4349	102304.0	71616.0	4349.0	2574722.0		not_a_neuron	glia							acetylcholine	0.23944160342216492	left				
78888653824265559	720575940628397834	119824	84656	1701	119824.0	84656.0	1701.0	3821111.0		not_a_neuron	glia							acetylcholine	0.3745321035385132	left				
79941985964037019	720575940629224903	135640	52696	1855	135640.0	52696.0	1855.0	5060113.0		not_a_neuron	glia							acetylcholine	0.4707132875919342	right				
78888928836647678	720575940625786672	119896	88800	2803	119896.0	88800.0	2803.0	3823020.0		not_a_neuron	glia							acetylcholine	0.41570165753364563	left				
78325085463299856	720575940628631963	112016	76056	2536	112016.0	76056.0	2536.0	3198687.0		not_a_neuron	glia							serotonin	0.43216943740844727	left				
77548005955967814	720575940628679724	100664	30584	5134	100664.0	30584.0	5134.0	2352555.0		not_a_neuron	glia							octopamine	0.6378236413002014	left				
79310729253440042	720575940640853080	126240	83152	4939	126240.0	83152.0	4939.0	4707336.0		not_a_neuron	glia							gaba	0.5035733580589294	center				
80999441406330821	720575940624802284	150816	81408	2902	150816.0	81408.0	2902.0	6471573.0		not_a_neuron	glia							acetylcholine	0.3837181031703949	right				
78112879853073852	720575940626963460	109096	59192	3339	109096.0	59192.0	3339.0	3104511.0		not_a_neuron	glia							dopamine	0.3352477252483368	left				
79732735090147328	720575940624978981	132632	80024	1544	132632.0	80024.0	1544.0	5280733.0		not_a_neuron	glia							acetylcholine	0.4630812406539917	center				
79236924065332490	720575940629331255	125560	31656	1105	125560.0	31656.0	1105.0	4388676.0		not_a_neuron	glia							glutamate	0.4062630534172058	center				
78114254309484295	720575940629978103	109368	80000	3688	109368.0	80000.0	3688.0	3199678.0		not_a_neuron	glia							acetylcholine	0.6339854001998901	left				
78606285964418074	720575940626423885	116232	72072	5372	116232.0	72072.0	5372.0	3741485.0		not_a_neuron	glia							acetylcholine	0.45079803466796875	left				
79379929632387432	720575940636232932	127456	66096	3978	127456.0	66096.0	3978.0	4646626.0		not_a_neuron	glia							acetylcholine	0.7519868016242981	center				
78396347761394214	720575940628456603	113496	88968	3762	113496.0	88968.0	3762.0	3251859.0		not_a_neuron	glia							acetylcholine	0.6005889773368835	left				
79519704981067518	720575940605899488	129504	51336	3547	129504.0	51336.0	3547.0	4532176.0		not_a_neuron	glia							serotonin	0.3254711329936981	center				
81702304415413900	720575940628690843	161136	68440	4219	161136.0	68440.0	4219.0	6892733.0		not_a_neuron	glia							acetylcholine	0.884104311466217	right				
80858016454933827	720575940624622522	148664	71288	991	148664.0	71288.0	991.0	6416641.0		not_a_neuron	glia							glutamate	0.802454948425293	right				
81281122608755159	720575940630588022	154576	84440	3536	154576.0	84440.0	3536.0	6513802.0		not_a_neuron	glia							glutamate	0.3970344364643097	right				
80294792093473639	720575940634705259	140632	66784	4607	140632.0	66784.0	4607.0	5794465.0		not_a_neuron	glia							acetylcholine	0.3528515100479126	right				
77549724009498048	720575940625985618	101216	56184	5307	101216.0	56184.0	5307.0	2483291.0		not_a_neuron	glia							acetylcholine	0.4711152911186218	left				
81771711153970157	720575940612662130	162536	54040	4670	162536.0	54040.0	4670.0	6846226.0		not_a_neuron	glia							acetylcholine	0.574271559715271	right				
79802554212645976	720575940619552391	133624	71680	2198	133624.0	71680.0	2198.0	5235929.0		not_a_neuron	glia							gaba	0.5815562009811401	center				
77971661127102852	720575940627427736	106960	52144	1879	106960.0	52144.0	1879.0	3068559.0		not_a_neuron	glia							acetylcholine	0.4570135474205017	left				
78182836079018360	720575940614896031	110139	53672	1791	108600.0	54280.0	1830.0	3070750.0		not_a_neuron	glia							gaba	0.7759931683540344	left				
79522247534047260	720575940637105008	129056	88928	2695	129056.0	88928.0	2695.0	4705811.0		not_a_neuron	glia							acetylcholine	0.8811159133911133	center				
78114391681584994	720575940625030275	108872	82320	3366	108872.0	82320.0	3366.0	3251028.0		not_a_neuron	glia							acetylcholine	0.37577638030052185	left				
81068848077565601	720575940622324164	151848	66520	2703	151848.0	66520.0	2703.0	6427775.0		not_a_neuron	glia							gaba	0.49627187848091125	right				
79662985022399577	720575940629162758	131720	89488	2706	131720.0	89488.0	2706.0	5341485.0		not_a_neuron	glia							gaba	0.6473352909088135	center				
77409261332089493	720575940604710828	99072	60720	4883	99072.0	60720.0	4883.0	2537085.0		not_a_neuron	glia							acetylcholine	0.3748783767223358	left				
80927767327235242	720575940645451287	149536	61904	5150	149536.0	61904.0	5150.0	6406104.0		not_a_neuron	glia							gaba	0.259785532951355	right				
79238298589436749	720575940620597375	124888	52304	2411	124888.0	52304.0	2411.0	4526178.0		not_a_neuron	glia							acetylcholine	0.6611980199813843	center				
79380204376079574	720575940628926875	127352	69304	2966	127352.0	69304.0	2966.0	4644550.0		not_a_neuron	glia							glutamate	0.29756200313568115	center				
78607316487892918	720575940627360901	116280	86896	3122	116280.0	86896.0	3122.0	3823799.0		not_a_neuron	glia							acetylcholine	0.9119224548339844	left				
80504454679581204	720575940627970503	143304	45496	467	143304.0	45496.0	467.0	5714797.0		not_a_neuron	glia							acetylcholine	0.41028255224227905	right				
79170129204087392	720575940617713494	123904	85176	4990	123904.0	85176.0	4990.0	4706660.0		not_a_neuron	glia							acetylcholine	0.6067562103271484	left				
80505485471743898	720575940626653962	144168	60208	186	144168.0	60208.0	186.0	5768952.0		not_a_neuron	glia							acetylcholine	0.43277186155319214	right				
79802554548069861	720575940620365076	133224	72304	4669	133224.0	72304.0	4669.0	5244614.0		not_a_neuron	glia							acetylcholine	0.889728307723999	center				
80575716978280085	720575940613856479	145248	58856	1660	145248.0	58856.0	1660.0	5770320.0		not_a_neuron	glia							acetylcholine	0.60951167345047	right				
79451191394269078	720575940636636814	128824	78608	1548	128824.0	78608.0	1548.0	4668609.0		not_a_neuron	glia							acetylcholine	0.46862372756004333	center				
81210822583476513	720575940621742320	154064	84800	3115	154064.0	84800.0	3115.0	6513605.0		not_a_neuron	glia							acetylcholine	0.8593717217445374	right				
82898160481156620	720575940619460272	178872	62560	2185	178872.0	62560.0	2185.0	7415449.0		not_a_neuron	glia							acetylcholine	0.36231011152267456	right				
77621398088428216	720575940624221877	102152	76120	2905	102152.0	76120.0	2905.0	2680837.0		not_a_neuron	glia							glutamate	0.4656843841075897	left				
80365435245449937	720575940632130129	141256	70424	794	141256.0	70424.0	794.0	5780876.0		not_a_neuron	glia							serotonin	0.9902581572532654	right				
79029597672605898	720575940613311911	122416	88136	3274	122416.0	88136.0	3274.0	3824042.0		not_a_neuron	glia							gaba	0.361869215965271	left				
77550479789856248	720575940631498660	101048	68072	4523	101048.0	68072.0	4523.0	2574286.0		not_a_neuron	glia							acetylcholine	0.5966833233833313	left				
80645536100755408	720575940625452184	145528	50784	2614	145528.0	50784.0	2614.0	5747418.0		not_a_neuron	glia							acetylcholine	0.400145024061203	right				
79449267718275904	720575940629416522	128888	50144	4736	128888.0	50144.0	4736.0	4534270.0		not_a_neuron	glia							glutamate	0.35616594552993774	center				
79872029670697979	720575940614402410	134496	58288	2676	134496.0	58288.0	2676.0	5156568.0		not_a_neuron	glia							acetylcholine	0.4384140074253082	center				
78183592194458091	720575940606031049	109672	65144	3219	109672.0	65144.0	3219.0	3104696.0		not_a_neuron	glia							gaba	0.6756728291511536	left				
78465341780809373	720575940646641284	113936	68424	1296	113936.0	68424.0	1296.0	3141100.0		not_a_neuron	glia							serotonin	0.7240400314331055	left				
81067611059867849	720575940630140111	151896	48712	2172	151896.0	48712.0	2172.0	6365665.0		not_a_neuron	glia							acetylcholine	0.6111723184585571	right				
